Year,Week,Ranking,TV,movie_zh_name,category,director,imdb_score
2020,33,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Shin-woo,8.6
2020,33,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Jo Yong,8.6
2020,33,10,Mystic Pop-up Bar,雙甲路邊攤,"網路漫改, 奇幻",Bae Hye-Soo,8
2020,33,3,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Park Jun Seo,7.1
2020,33,4,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2020,33,4,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2020,33,7,Crash Landing on You,愛的迫降,"浪漫, 喜劇",Park Ji-eun,8.7
2020,34,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Shin-woo,8.6
2020,34,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Jo Yong,8.6
2020,34,2,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Park Jun Seo,7.1
2020,34,3,Bimilui Soop,秘密森林,"犯罪, 驚悚",Lee Soo-yeon,8.5
2020,34,6,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2020,34,6,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2020,34,7,Goedam,韓國都市怪談,恐怖,NA,5.7
2020,34,8,Crash Landing on You,愛的迫降,"浪漫, 喜劇",Park Ji-eun,8.7
2020,35,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Shin-woo,8.6
2020,35,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Jo Yong,8.6
2020,35,10,Crash Landing on You,愛的迫降,"浪漫, 喜劇",Park Ji-eun,8.7
2020,35,2,Goedam,韓國都市怪談,恐怖,NA,5.7
2020,35,3,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Park Jun Seo,7.1
2020,35,6,Bimilui Soop,秘密森林,"犯罪, 驚悚",Lee Soo-yeon,8.5
2020,35,9,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2020,35,9,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2020,36,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Shin-woo,8.6
2020,36,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Jo Yong,8.6
2020,36,10,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2020,36,10,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2020,36,2,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Park Jun Seo,7.1
2020,36,3,Bimilui Soop,秘密森林,"犯罪, 驚悚",Lee Soo-yeon,8.5
2020,36,9,Goedam,韓國都市怪談,恐怖,NA,5.7
2020,37,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Shin-woo,8.6
2020,37,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Jo Yong,8.6
2020,37,10,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2020,37,10,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2020,37,2,Bimilui Soop,秘密森林,"犯罪, 驚悚",Lee Soo-yeon,8.5
2020,37,3,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Park Jun Seo,7.1
2020,37,4,Record of Youth,青春紀錄,浪漫,Ha Myung-hee,7.3
2020,37,4,Record of Youth,青春紀錄,浪漫,Ahn Gil-ho,7.3
2020,38,1,Record of Youth,青春紀錄,浪漫,Ha Myung-hee,7.3
2020,38,1,Record of Youth,青春紀錄,浪漫,Ahn Gil-ho,7.3
2020,38,10,Crash Landing on You,愛的迫降,"浪漫, 喜劇",Park Ji-eun,8.7
2020,38,2,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Shin-woo,8.6
2020,38,2,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Jo Yong,8.6
2020,38,3,Bimilui Soop,秘密森林,"犯罪, 驚悚",Lee Soo-yeon,8.5
2020,38,4,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Park Jun Seo,7.1
2020,39,1,Record of Youth,青春紀錄,浪漫,Ha Myung-hee,7.3
2020,39,1,Record of Youth,青春紀錄,浪漫,Ahn Gil-ho,7.3
2020,39,10,The School Nurse Files,非常校護檔案,"奇幻, 書籍改編",Lee Kyoung-mi,6.4
2020,39,10,The School Nurse Files,非常校護檔案,"奇幻, 書籍改編",Chung Se-rang,6.4
2020,39,2,Bimilui Soop,秘密森林,"犯罪, 驚悚",Lee Soo-yeon,8.5
2020,39,3,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Shin-woo,8.6
2020,39,3,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Jo Yong,8.6
2020,39,8,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Park Jun Seo,7.1
2020,40,10,SKY Castle,天空之城,喜劇,Jo Hyun-tak,8.6
2020,40,10,SKY Castle,天空之城,喜劇,Yoo Hyun-mi,8.6
2020,40,2,Record of Youth,青春紀錄,浪漫,Ha Myung-hee,7.3
2020,40,2,Record of Youth,青春紀錄,浪漫,Ahn Gil-ho,7.3
2020,40,3,Bimilui Soop,秘密森林,"犯罪, 驚悚",Lee Soo-yeon,8.5
2020,40,4,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Shin-woo,8.6
2020,40,4,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Jo Yong,8.6
2020,40,5,The School Nurse Files,非常校護檔案,"奇幻, 書籍改編",Lee Kyoung-mi,6.4
2020,40,5,The School Nurse Files,非常校護檔案,"奇幻, 書籍改編",Chung Se-rang,6.4
2020,41,10,Do Do Sol Sol La La Sol,Do Do Sol Sol La La Sol,"浪漫, 喜劇",NA,7.3
2020,41,3,Record of Youth,青春紀錄,浪漫,Ha Myung-hee,7.3
2020,41,3,Record of Youth,青春紀錄,浪漫,Ahn Gil-ho,7.3
2020,41,4,Bimilui Soop,秘密森林,"犯罪, 驚悚",Lee Soo-yeon,8.5
2020,41,5,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Shin-woo,8.6
2020,41,5,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Jo Yong,8.6
2020,41,8,SKY Castle,天空之城,喜劇,Jo Hyun-tak,8.6
2020,41,8,SKY Castle,天空之城,喜劇,Yoo Hyun-mi,8.6
2020,41,9,Private Lives,私生活,驚悚,NA,6.5
